name,maker,information,danger,id,score
새로콤연질캡슐,대웅제약,"1. 다음경우의 비타민 B1, B2, B6, E의 보급  - 육체피로, 임신·수유기, 병중·병후의 체력저하시, 노년기2. 이 약에 함유된 비타민 등의 효능 ㆍ 효과는 다음과 같다.  - 말초혈행장애 및 갱년기시 다음증상의 완화 : 어깨·목결림, 수족저림·수족냉증(손발이 차가움)  - 다음증상의 완화 : 신경통, 근육통, 관절통(요통, 견통(어깨결림, 어깨통증)등)  - 각기  - 눈의 피로",NULL,30,3
젠가드에프캡슐,대웅제약,"[허가사항변경(안전성 정보처리), 의약품안전평가과-4208, 2016.08.04.] 치주치료 후 치은염, 경·중등도 치주염의 보조치료",NULL,31,11
타나칸정,대웅제약,"1. 주효능 효과  1) 말초동맥 순환장애(간헐성 파행(이따금 절뚝거림)증)의 치료  2) 어지러움, 혈관성 및 퇴행성 이명(귀울림)  3) 이명(귀울림), 두통, 기억력감퇴, 집중력장애, 우울감, 어지러움 등의 치매성 증상을 수반하는 기질성 뇌기능장애의 치료",NULL,32,17
로맨씨산,대웅제약,"- 다음 증상의 완화 : 기미, 주근깨 및 햇볕에 의한 색소침착- 잇몸출혈 예방- 다음 경우의 비타민C 보급 : 육체피로, 임신ㆍ수유기, 병중ㆍ병후의 체력저하시",NULL,33,6
페리바정,대웅제약,"1) 정맥혈류 장애(정맥류)로 인한 다음 증상의 치료 : 하지중압감, 정맥염, 야간다리 경련 2) 치질과 관련된 제증상",NULL,34,17
대웅미리콘산,대웅제약,"1.소화기관내 과잉의 가스존재로 인한 통증이나 중압감의 개선   : 고장, 팽만감, 충만감, 중압감, 통증, 경련 또는 과잉의 방귀의 치료 2. 다음의 목적으로도 사용할 수 있습니다.   가. 위장관수술 등으로 발생되는 가스의 제거   나. 위내시경 검사나 장엑스선 촬영시 가스의 제거",NULL,35,4
복합우루사캡슐,대웅제약,"[허가사항변경(2016년 재평가), 의약품안전평가과-4767, 2017.08.16.](캡슐제)(정제)육체피로 개선, 자양강장, 병중.병후의 비타민 B1 보급",NULL,36,8
베아제캡슐,대웅제약,"[허가사항변경(2014년 재평가), 의약품안전평가과-943, 2016.02.23.](캡슐제)소화불량, 식욕감퇴(식욕부진), 과식, 체함, 소화촉진, 소화불량으로 인한 위부팽만감",NULL,37,0
네티콤연질캡슐,대웅제약,"고도근시, 야맹증(밤에 잘 못 보는 증상), 중심 및 주변 망막변성에 의한 약시, 시력감퇴, 안정피로",NULL,38,0
메치코발정,대웅제약,"(정제)(캡슐제)말초성 신경장애",NULL,39,9
소프트모닝정,대웅제약,"1. 변비2. 변비에 의한 다음 증상의 완화 : 식욕부진(식욕감퇴), 복부팽만, 장내이상발효, 치질",NULL,40,1
대웅이부펜시럽,대웅제약,"1. 주효능 효과   감기로 인한 발열 및 동통(통증), 요통, 월경곤란증, 류마티양 관절염, 연소성(어리거나 젊은나이에 나타나는) 류마티양 관절염, 골관절염(퇴행성 관절질환), 수술후 동통(통증) 2. 다음 질환에도 사용할 수 있다.   두통, 치통, 근육통, 신경통, 강직성 척추염, 급성통풍, 건선(마른비닐증)성 관절염, 연조직손상(염좌(삠), 좌상(타박상)), 비관절 류마티스질환(건염(힘줄염), 건초염(힘줄윤활막염), 활액(윤활)낭염)",NULL,41,37
원비-디,일양약품,"간기능보조 및 개선, 자양강장, 허약체질보조 및 개선, 피로회복",NULL,42,68
비타텐골드연질캡슐,씨엠지제약,"1. 다음 경우의 비타민 A,,B1, C, E 의 보급- 육체피로, 임신ㆍ수유기, 병중ㆍ병후의 체력 저하시, 노년기2. 이 약에 함유된 비타민 등의 효능ㆍ효과는 다음과 같습니다.- 눈의 건조감의 완화, 야맹증- 말초혈행장애 및 갱년기시 다음 증상의 완화 : 어깨ㆍ목결림, 수족저림, 수족냉증- 햇빛ㆍ피부병 등에 의한 색소침착(기미, 주근깨)의 완화- 잇몸출혈ㆍ비출혈 예방",NULL,43,1
한토닌정,동성제약,"안과 : 각막상피취약, 전염성 점상상피각막염, 콘택트렌즈 적응기간 동안의 착용으로 인한 표재성 상피상해 등의 예방 및 치료. 피부과 : 탈모증(특히 지루성), 부서지기 쉬운모발, 손톱·발톱의 성장 및 영양장해",NULL,44,1
페라민-에이정,정우신약,"코감기(급성비염(코염), 알레르기성 비염(코염) 또는 부비동염에 의한 다음 증상의 완화 : 코막힘, 콧물, 재채기, 눈물, 인후(목구멍)통, 머리 무거움",NULL,45,1
제놀원카타플라스마,녹십자,"다음 증상의 진통ㆍ소염 : 타박상, 삠, 요통, 어깨결림, 근육통, 근육피로, 관절통, 동창",NULL,46,1
제놀탑카타플라스마,녹십자,"다음 질환 및 증상의 진통 ㆍ 소염[항염], 퇴행성관절염(골관절염), 어깨관절주위염, 건[힘줄] ㆍ 건초염[힘줄윤활막염], 건[힘줄]주위염, 상완골[위팔뼈]상과염(테니스엘보우등), 근육통, 외상[상처] 후의 종창[부기] ㆍ 동통[통증]",NULL,47,6
제놀탑에스카타플라스마,녹십자,"다음 질환 및 증상의 진통·소염 : 퇴행성관절염(골관절염), 어깨관절 주위염, 건·건초염, 건주위염, 상완골상과염(테니스 앨보우 등), 근육통, 외상후의 종창·동통",NULL,48,4
비타메진캡슐50mg,씨제이헬스케어,"1. 본제에 함유되어 있는 비타민류의 수요가 증대하여 식사로부터의 섭취가 불충분할 때의 비타민의 보급(소모성질환, 임산부ㆍ수유부 등)2. 다음 질환의 본제 함유 비타민의 결핍 또는 대사장해가 추정되는 경우 신경통, 근육통, 관절통, 말초신경염(알코올성, 당뇨병성), 말초신경마비",NULL,49,4
로텐연질캡슐,일동제약,"○ 다음경우의 비타민 A, C, E의 보급- 육체피로 - 임신, 수유기 - 병중, 병후(병을 앓는 동안이나 회복 후)의 체력저하시- 노년기○ 이 약에 함유된 비타민 등의 효능, 효과는 다음과 같다.- 눈의 건조감의 완화, 야맹증(밤에 잘 못보는 증상)- 말초혈행장애 및 갱년기시 다음 증상의 완화 :  어깨, 목결림, 수족저림, 수족냉증(손발이 차가움)- 햇빛, 피부병 등에 의한 색소침착(기미, 주근깨)의 완화  - 잇몸출혈, 비출혈(코피) 예방",NULL,50,5
케노펜겔,일동제약,"다음 질환 및 증상의 진통ㆍ소염 : 퇴행성관절염(골관절염), 어깨관절주위염, 건ㆍ건초염, 건주위염, 상완골상과염(테니스 엘보우 등), 근육통, 외상후의 종창ㆍ동통",NULL,51,39
유우린과립,한풍제약,"빈뇨, 배뇨통, 잔뇨감",NULL,52,1
한풍길경탕엑스과립,한풍제약,"인후가 부어서 아픈 다음의 증상: 편도염, 편도주위염",NULL,53,1
아리코트에스크림,일동제약,"1. 알레르기, 염증성 피부질환 : 급만성 습진, 접촉성피부염, 아토피성피부염, 지루성    피부염, 만성단순태선, 간찰진, 박탈성피부염, 구진상두드럭, 건선 가려움증(항문,    음부), 일광피부염2. 원형탈모증 3. 1도 화상4. 벌레물린데5. 2차 세균감염이 있는 피부질환",NULL,54,33
한풍청폐탕엑스과립,한풍제약,"오래된 기침, 가래가 있는 기침, 호흡곤란을 동반한 기침",NULL,55,1
한풍생강사심탕엑스과립,한풍제약,"명치가 답답한 감이 있고, 트림을 수반하는 다음 증상 : 속쓰림, 구역, 구토, 설사, 위장염, 구취",NULL,56,1
올가과립,한풍제약,"물설사, 구토, 목마름, 요량감소를 수반하는 다음 증상 : 식체(위체), 더위먹음, 복냉, 급성 위장염, 복통",NULL,57,48
활명수,동화약품,"식욕감퇴(식욕부진), 위부팽만감, 소화불량, 과식, 체함, 구역, 구토",NULL,58,33352
아로나민골드정,일동제약,"○ 다음 경우의 비타민 B1, B2, B6, E, C의 보급  - 육체피로, 임신ㆍ수유기, 병중ㆍ병후(병을 앓는 동안이나 회복 후)의 체력저하시, 노년기(간유, 비타민 D, E 함유시)○다음 증상의 완화 : 신경통, 근육통, 관절통(요통, 어깨결림 등)○각기   ○눈의피로",NULL,59,80
캐롤시럽,일동제약,"1. 주효능 효과   류마티양 관절염, 연소성 류마티양 관절염, 골관절염(퇴행성 관절질환), 감기로    인한 발열 및 동통, 요통, 월경곤란증, 수술후 동통2. 다음 질환에도 사용할 수 있다. 강직성 척추염, 두통, 치통, 근육통, 신경통, 급성통풍, 건선성 관절염, 연조직손상   (염좌, 좌상), 비관절류마티스질환(건염, 건초염, 활액낭염)",NULL,60,127
샤이닝정,동화약품,"위장관계 질환의 발작성 동통(통증) 또는 담도계(쓸개길), 비뇨기계, 월경곤란증 등 여성 생식기계의 기능장애 및 경련성 동통(통증)",NULL,61,13
활명수골드액,동화약품,"식욕감퇴(식욕부진), 위부팽만감, 소화불량, 과식, 체함, 구역, 구토",NULL,62,14
씨이멕스연질캡슐,동화약품,"ㆍ 다음 경우의 비타민 C, E 의 보급 - 육체피로 - 임신ㆍ수유기 - 병중ㆍ병후(병을 앓는 동안이나 회복 후)의 체력저하시 - 노년기 ㆍ 이 약에 함유된 비타민 등의 효능ㆍ효과는 다음과 같다.  ㆍ비타민 C (아스코르브산)    햇빛ㆍ피부병 등에 의한 색소침착(기미, 주근깨)의 완화, 잇몸출혈ㆍ비출혈(코피) 예방  ㆍ비타민 E (d-α-토코페롤)    말초혈행장애 및 갱년기시 다음 증상의 완화 : 어깨ㆍ목결림, 수족저림ㆍ수족냉증(손    발이 차가움)",NULL,63,3
자감핀과립,한풍제약,"체력이 떨어져서 피로하기 쉬운 사람의 두근거림, 숨참",NULL,64,2
당피롱과립,한풍제약,"냉증인 사람의 다음 증상 : 만성 습진(분비물이 적은 것), 가려움",NULL,65,1
한풍건강엑스산,한풍제약,"(식체) 한냉, 구토, 곽란",NULL,66,2
일동엑소데릴액,일동제약,"다음의 피부진균증1) 백선 : 족부백선, 수부백선, 고부백선(완선), 체부백선2) 피부칸디다증3) 어루러기4) 조갑(손ㆍ발톱) 진균증",NULL,67,9
케노펜플라스타,일동제약,"다음 질환 및 증상의 진통·소염 : 퇴행성관절염(골관절염), 어깨관절주위염, 건·건초염, 건주위염, 상완골상과염(테니스 엘보우 등), 근육통, 외상후의 종창·동통",NULL,68,6
한풍맥아엑스산,한풍제약,"건위, 퇴유(유즙분비, 소퇴)",NULL,69,2
한풍복령엑스산,한풍제약,"이뇨, 건위, 진정",NULL,70,2
한풍아출엑스산,한풍제약,"건위, 어혈, 통",NULL,71,2
한풍반하엑스산,한풍제약,"최토, 진토, 진정, 거담",NULL,72,2
한풍작약엑스산,한풍제약,"보혈, 진통, 진경(복통)",NULL,73,2
헬민200연질캡슐,동화약품,"[허가사항변경(2016년 재평가), 의약품안전평가과-4767, 2017.08.16.](캡슐제) 간기능장애의 보조치료",NULL,74,20
한풍의이인탕엑스과립,한풍제약,"관절통, 근육통",NULL,75,1
귀비론과립,한풍제약,"허약 체질로 혈색이 좋지 못한 사람의 다음과 같은 증상 : 빈혈, 불면증, 정신불안, 신경과민",NULL,76,1
까스활명수큐액,동화약품,"식욕감퇴(식욕부진), 위부팽만감, 소화불량, 과식, 체함, 구역, 구토",NULL,77,84
암브렉트정,동화약품,"[허가사항변경(2014년 재평가), 의약품안전평가과-2589, 2015.11.17](정제)(캡슐제)(시럽제)(흡입제)점액분비장애로 인한 다음의 급·만성 호흡기질환 : 급·만성기관지염, 천식성기관지염",NULL,78,11
자미온과립,한풍제약,"심신이 피로하고 허약하여 잠을 자지 못하는 경우",NULL,79,0
비오비타과립,일동제약,"[허가사항변경(2014년 재평가), 의약품안전평가과-2589, 2015.11.17](과립제)정장, 변비, 묽은 변, 복부팽만감, 장내이상발효",NULL,80,98
세노바액,일동제약,"계절성 및 다년성 알레르기성 비염, 알레르기성 결막염, 만성 특발성 두드러기, 피부 소양증",NULL,81,17
셀크텐연질캡슐,동화약품,"다음 경우의 비타민 C의 보급 - 육체피로 - 임신,수유기 - 병중,병후",NULL,82,2
판콜에이내복액,동화약품,"감기 제증상(여러 증상) [콧물, 코막힘, 재채기, 인후(목구멍)통, 기침, 가래, 오한(춥고 떨리는 증상), 발열, 두통, 관절통, 근육통]의 완화",NULL,83,182
비텐지연질캡슐,동화약품,"○ 다음경우의 비타민 E, B1, B2, B6, C의 보급  - 육체피로  - 임신ㆍ수유기  - 병중ㆍ병후(병을 앓는 동안이나 회복 후)의 체력저하시  - 노년기○이 약에 함유된 비타민 등의 효능ㆍ효과는 다음과 같다.  ㆍ비타민B1(티아민질산염)  -다음 증상의 완화 : 신경통, 근육통, 관절통(요통, 어깨결림 등)  -각기     -눈의피로  ㆍ비타민B2(리보플라빈)  -다음 증상의 완화 : 구각염(입꼬리염), 구순염(입술염), 구내염(입안염), 설염                      (혀염), 습진, 피부염  ㆍ비타민C(아스코르브산)   - 햇빛ㆍ피부병 등에 의한 색소침착(기미, 주근깨)의 완화  - 잇몸출혈ㆍ비출혈(코피) 예방○ 아연의 보급",NULL,84,4
영진아스피린장용정,영진약품,"[허가사항변경(통일조정), 의약품심사조정과-3468, 2017.06.01.]1) 다음 질환에서 혈전 생성 억제 · 심근경색 · 뇌경색 · 불안정형 협심증2) 관상동맥 우회술(CABG) 또는 경피경관 관상동맥 성형술(PTCA) 후 혈전 생성 억제3) 고위험군환자(허혈성 심장질환의 가족력, 고혈압, 고콜레스테롤혈증, 비만, 당뇨 등 복합적 위험인자를 가진 환자)에서 심혈관계 위험성 감소",NULL,85,5
판키아제정,일동제약,"소화불량, 식욕감퇴(식욕부진), 과식, 체함, 소화촉진, 소화불량으로 인한 위부팽만감",NULL,86,5
탁소음과립,한풍제약,"림프절염, 항문주위염, 유선염 등의 화농성질환",NULL,87,1
리유진과립,한풍제약,"구역, 구토",NULL,88,1
유니살연고,일동제약,"네오마이신 감수성 세균에 의해 2차 감염된 코르티코이드 반응성 피부질환의 초기 치료 : 피부염,감염된 상처.",NULL,89,32
동화은행엽엑스정120mg,동화약품,"(경구: 정제 40mg, 80mg, 120mg, 캅셀제 40mg, 액제)1. 주 효능효과  1) 말초동맥 순환장애(간헐성 파행증)의 치료  2) 어지러움, 혈관성 및 퇴행성 이명  3) 이명, 두통, 기억력 감퇴, 집중력 장애, 우울감, 어지러움 등의 치매성 증상을 수반하는 기질성 뇌기능 장애의 치료",NULL,90,3
한풍온청음엑스과립,한풍제약,"피부의 색과 윤기가 좋지 않고 상기(기혈이 머리 쪽으로 치밀어 오름)가 있는 사람의 다음 증상 : 월경불순, 월경곤란, 갱년기장애, 신경과민",NULL,91,1
일동엑소데릴크림,일동제약,"1. 다음의 피부진균증1) 백선 : 족부백선, 수부백선, 고부백선(완선), 체부백선2) 피부칸디다증3) 어루러기4) 조갑(손·발톱) 진균증",NULL,92,8
후루케어캡슐200mg,일동제약,"[허가사항변경(2014년 재평가), 의약품안전평가과-2589, 2015.11.17](캡슐제)(과립제)(시럽제)다음 질환에서의 객담배출곤란 :  급.만성기관지염, 기관지천식, 후두염, 부비동염, 낭성섬유증",NULL,93,2
한풍시령탕엑스과립,한풍제약,"구역, 식욕감퇴(식욕부진), 목마름, 요량감소가 있는 경우의 다음 증상 : 물설사, 급성 위장염, 더위먹음, 부종",NULL,94,1
청방과립,한풍제약,여드름,NULL,95,1
까스활명수디액,동화약품,"식욕감퇴(식욕부진), 위부팽만감, 소화불량, 과식, 식체(위체), 구역, 구토",NULL,96,14
갈미정,한풍제약,"비교적 체력이 있고 두통, 어깨가 뻣뻣한 증상을 수반하는 다음 증상 : 비염, 콧물, 코막힘, 부비동염",NULL,97,3
한풍억간산가진피반하탕엑스과립,한풍제약,"허약한 체질로서 신경이 흥분되어 있는 사람의 다음 증상: 신경과민, 불면증, 야제증(夜啼症, 어린이가 밤에 울고 보채는 증상), 감증(疳症, 어린이가 소화기의 기능장애로 몸이 여위는 병증)",NULL,98,1
훼리모캡슐,케이엠에스제약,"철 결핍성 빈혈의 예방 및 치료",NULL,99,3
마이센스과립,한풍제약,"손발이 화끈거리며 입술이 마르는 사람의 다음 증상 : 월경불순, 월경곤란, 대하, 갱년기장애, 불면, 신경과민, 습진, 하지의 냉감, 동창",NULL,100,2
가메레온과립,한풍제약,"야제증(夜啼症, 어린이가 밤에 우는 증상), 경풍(驚風, 갑자기 의식을 잃고 경련하는 병증)",NULL,101,2
십패산과립,한풍제약,"화농성 또는 급성 피부질환의 초기, 두드러기, 급성 습진, 무좀",NULL,102,1
소요과립,한풍제약,"체질이 허약한 여성으로 어깨가 결리며 피로하기 쉽고, 정신불안 등의 정신신경증상, 때때로 변비가 있는 사람의 다음 증상 : 냉증, 허약체질, 월경불순, 월경곤란, 갱년기장애",NULL,103,2
계령대과립,한풍제약,"비교적 체력이 있고 때로는 하복부통, 어깨결림, 머리 무거움, 어지러움, 상기(기혈이 머리 쪽으로 치밀어 오름)되어 발의 차가움 등을 호소하는 다음 증상 : 월경이상, 월경불순, 월경통, 갱년기장애, 어깨결림, 어지러움, 머리 무거움, 타박상, 동창, 기미",NULL,104,2
듀루정,한풍제약,"식체(위체), 소화불량의 경향이 있는 다음 증상 : 급·만성위카타르, 위무력, 소화불량, 식욕감퇴(식욕부진)",NULL,105,1
부루톤정,한풍제약,"살색이 희고, 피로하기 쉬우며, 땀이 잘 나는 경향이 있는 다음 증상 : 비만(근육에 긴장감이 없고 물살찐), 관절통, 부종",NULL,106,1
마롱과립,한풍제약,"감기 초기에 오한, 발열, 두통, 몸살이 있는 다음 증상 : 감기, 코감기",NULL,107,2
파디론과립,한풍제약,"비교적 체력이 있고 상기(기혈이 머리쪽으로 치밀어 오름)되어 변비 경향이 있는 사람의 다음 증상 : 월경불순, 월경곤란, 월경시나 산후의 정신불안, 요통, 변비, 고혈압의 수반 증상(두통, 어지러움, 어깨결림)",NULL,108,1
대목과립,한풍제약,"비교적 체력이 있고 하복부통, 변비 경향이 있는 사람의 다음 증상 : 월경불순, 월경곤란, 변비, 치핵",NULL,109,1
콘센비타연질캡슐,일동제약,"○ 다음경우의 비타민 E, B1, B6의 보급  - 육체피로  - 임신ㆍ수유기  - 병중ㆍ병후(병을 앓는 동안이나 회복 후)의 체력저하시  - 노년기  - 이 약에 함유된 비타민 등의 효능ㆍ효과는 다음과 같다.ㆍ비타민E: 말초혈행장애 및 갱년기시 다음 증상의 완화 : 어깨ㆍ목결림, 수족저림ㆍ수족냉증(손발이 차가움)ㆍ비타민B1: 다음 증상의 완화 : 신경통, 근육통, 관절통(요통, 어깨결림 등), 각기, 눈의피로ㆍ비타민B6: 다음 증상의 완화: 구각염(입꼬리염), 구순염(입술염), 구내염(입안염), 설염(혀염), 습진, 피부염",NULL,110,3
코큐텐연질캡슐,일동제약,"○ 다음 경우의 비타민A, C, E의 보급 - 육체피로, 임신ㆍ수유기, 병중ㆍ병후(병을 앓는 동안이나 회복 후)의 체력저하시,  노년기- 이 약에 함유된 비타민 등의 효능ㆍ효과는 다음과 같다.ㆍ눈의 건조감의 완화, 야맹증(밤에 잘 못보는 증상)ㆍ말초혈행장애 및 갱년기시 다음 증상의 완화 : 어깨ㆍ목결림, 수족저림ㆍ수족냉증(손발이 차가움)ㆍ햇빛ㆍ피부병 등에 의한 색소침착(기미, 주근깨)의 완화, 잇몸출혈ㆍ비출혈(코피) 예방○ 아연의 보급",NULL,111,15
시함과립,한풍제약,"기침, 기침으로 인한 가슴통증",NULL,112,2
한풍계지가출부탕엑스과립,한풍제약,"신경통, 관절통",NULL,113,1
